Station     Long        Lat         Station#     
UIL         -124.55     47.95       72797        
OTX         -117.63     47.68       72786        
SLE         -123.0      44.91       72694        
MFR         -122.86     42.36       72597        
BOI         -116.21     43.56       72681        
OAK         -122.21     37.73       72493        
REV         -119.8      39.56       72489        
LKN         -115.73     40.86       72582        
VEF         -115.18     36.05       72388        
VBG         -120.56     34.75       72393        
NKX         -117.12     32.85       72293        
TUS         -110.96     32.23       72274        
FGZ         -111.82     35.23       72376        
TFX         -111.39     47.46       72776        
GGW         -106.61     48.21       72768        
RIW         -108.48     43.06       72672        
SLC         -111.95     40.77       72572        
GJT         -108.53     39.11       72476        
DNR         -104.87     39.77       72469        
RAP         -103.21     44.08       72662        
BIS         -100.75     46.76       72764        
ABR         -98.43      45.45       72659        
LBF         -100.68     41.13       72562        
OAX         -96.36      41.31       72558        
DVN         -90.58      41.61       74455        
TOP         -95.62      39.07       72456        
DDC         -99.97      37.76       72451        
SGF         -93.38      37.23       72440        
ABQ         -106.62     35.04       72365        
EPZ         -106.7      31.86       72364        
DRT         -100.91     29.36       72261        
MAF         -102.18     31.95       72265        
AMA         -101.7      35.23       72363        
BRO         -97.41      25.91       72250        
CRP         -97.5       27.76       72251        
FWD         -97.3       32.83       72249        
OUN         -97.44      35.18       72357        
LMN         -97.48      36.62       74646        
LZK         -92.26      34.84       72340        
SHV         -93.78      32.46       72248        
LCH         -93.21      30.11       72240        
LIX         -89.83      30.34       72233        
INL         -93.4       48.56       72747        
MPX         -93.56      44.85       72649        
GRB         -88.11      44.5        72645        
ILX         -89.33      40.15       74560        
APX         -84.71      44.91       72634        
DTX         -83.46      42.7        72632        
ILN         -83.81      39.41       72426        
BNA         -86.57      36.25       72327        
JAN         -90.08      32.32       72235        
FFC         -84.57      33.36       72215        
TLH         -84.3       30.45       72214        
JAX         -81.7       30.5        72206        
TBW         -82.4       27.7        72210        
XMR         -80.55      28.46       74794        
MFL         -80.38      25.75       72202        
KEY         -81.79      24.55       72201        
CHS         -80.03      32.9        72208        
GSO         -79.95      36.08       72317        
MHX         -76.88      34.78       72305        
RNK         -80.41      37.2        72318        
WAL         -75.47      37.93       72402        
IAD         -77.46      38.98       72403        
PIT         -80.22      40.53       72520        
BUF         -78.73      42.93       72528        
ALB         -73.83      42.69       72518        
OKX         -72.86      40.87       72501        
CHH         -69.96      41.66       74494        
GYX         -70.25      43.9        74389        
CAR         -68.01      46.86       72712        
BMX         -86.76      33.16       72230        
WMW         -76.01      46.3        71722        
YMO         -80.62      51.29       71836        
WPL         -90.22      51.45       71845        
WLW         -119.4      49.94       71203        
ADN         -100.23     25.87       76394        
